time,station,pm25,lat,lon,pm25_3km,tmp,rh,hpbl,wspd,pop,road_den_1km,prim_road_len_1km,near_dist,bareland,builtup,cropland,grassland,treecover,water,ndvi,aod
2018-04-10,201,29.7826087,10.783057,106.700606,27.06999969,27.79659676,66.81274496,551.488468,3.282468593,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,1.371730328
2018-04-11,201,17.16666667,10.783057,106.700606,17.78000069,26.98201901,79.39047023,459.7358462,3.962070637,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-04-12,201,16.08333333,10.783057,106.700606,19.31999969,27.71656783,76.37359958,628.8710563,3.515528882,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,0.780922174
2018-04-13,201,16.625,10.783057,106.700606,19.56999969,27.3522211,79.1671707,580.3820886,3.118882471,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,0.785228968
2018-04-14,201,16.73913043,10.783057,106.700606,20.05999947,26.96584795,81.91276665,556.9996963,3.043288128,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-04-15,201,17.41666667,10.783057,106.700606,16.32999992,27.66659822,77.79430147,526.0791912,2.674541939,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-04-16,201,19.79166667,10.783057,106.700606,17.42000008,28.15387731,71.13387514,753.9123961,3.639928637,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-04-17,201,22.875,10.783057,106.700606,27.69000053,27.82131842,70.173166,704.4219495,2.988337758,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-04-18,201,31.0,10.783057,106.700606,26.95000076,26.94199061,78.36701424,534.6538742,2.752626087,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-04-19,201,22.33333333,10.783057,106.700606,19.76000023,26.84272079,76.76587093,664.3490933,3.859770327,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-04-20,201,24.25,10.783057,106.700606,16.75,26.6994452,78.51957089,633.1193528,4.153726445,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-04-21,201,24.25,10.783057,106.700606,15.52999973,26.85313506,78.08267399,646.4619951,3.596295648,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,0.978300095
2018-04-22,201,27.5,10.783057,106.700606,16.60000038,27.08361636,77.73644759,592.3625807,3.620560849,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
2018-04-23,201,24.45833333,10.783057,106.700606,11.84000015,27.39772341,80.22721375,434.5247259,2.422356329,20680.62695,27.46246147,6885.987305,18.53730525,296.3115702,764977.7039,0.0,1876.639945,232011.9595,0.0,2700.122924,
